#{"t_start": 1649942095.82755, "env_id": "PointToPoint-v0"}
r,l,t
-1854.65986,2001,48.716933
-1920.640516,2001,83.262182
-1873.812349,2001,117.619565
-1835.023061,2001,152.237281
-1830.978737,2001,186.769505
-1869.380326,2001,221.320638
-1857.847867,2001,255.761183
-1861.291297,2001,289.971673
-1863.853881,2001,324.471881
-1862.328967,2001,358.581129
-1850.09818,2001,392.924767
-1866.892946,2001,427.098033
-1867.098477,2001,461.046503
-1862.732767,2001,495.28668
-1865.06204,2001,529.160592
-1845.736512,2001,563.445955
-1862.808004,2001,597.382855
-1864.367281,2001,631.634986
-1593.867603,2001,666.048072
-1863.184395,2001,700.538711
-2765.573952,2001,735.10562
-1179.554984,2001,769.891937
-884.483793,2001,804.322876
-1435.815701,2001,838.757931
-1262.686072,2001,873.350214
-1605.896534,2001,907.963692
-2566.137134,2001,942.561794
-1624.842619,2001,976.882255
-826.578597,2001,1010.922966
-2303.099727,2001,1045.009814
-1877.035806,2001,1078.96296
-1747.306732,2001,1112.955692
-1772.34187,2001,1147.025805
-1861.395902,2001,1181.123456
-2440.054342,2001,1215.242568
-2807.854269,2001,1249.394722
-1781.258017,2001,1283.688844
-1773.86489,2001,1317.82443
-1491.890644,2001,1352.04061
-1456.712134,2001,1386.305414
-980.647456,2001,1420.469758
-1524.588828,2001,1454.859081
-1594.357192,2001,1489.00068
-1368.072192,2001,1523.541579
-2176.237359,2001,1558.696259
-1877.958508,2001,1593.371729
-1883.862328,2001,1627.686311
-1916.10484,2001,1661.98321
-1684.286709,2001,1696.43089
-1867.84611,2001,1730.755908
-1859.051277,2001,1765.10494
-1386.407442,2001,1799.412223
-1672.382436,2001,1833.566858
-783.313601,2001,1867.992867
-1642.481842,2001,1902.35187
-1633.718826,2001,1936.591594
-1499.618599,2001,1970.690286
-373.420865,2001,2004.976813
-1452.593273,2001,2039.151971
-1892.606499,2001,2073.314914
-1510.127047,2001,2107.507234
-1062.834699,2001,2141.999138
-1942.164863,2001,2176.613645
-1425.548844,2001,2211.054713
-1474.579114,2001,2245.594231
-1962.171665,2001,2279.952397
-1663.584542,2001,2314.142627
-1595.524848,2001,2348.28681
-1803.589744,2001,2382.617995
-1697.077223,2001,2416.868182
-1246.223475,2001,2451.27951
-1766.684765,2001,2485.418012
-1573.554292,2001,2519.839999
-1885.568363,2001,2554.165778
-1248.96185,2001,2588.29795
-1653.796976,2001,2622.571099
-1709.113661,2001,2656.682461
-1861.383981,2001,2690.725902
-1859.843075,2001,2725.002178
-1862.795826,2001,2758.990436
-1862.906037,2001,2793.015157
-1864.316447,2001,2827.106415
-1866.425316,2001,2861.033673
-1863.61276,2001,2895.032744
-633.297724,2001,2929.295445
-1290.174185,2001,2963.615975
-330.617375,2001,2997.696419
-1480.747741,2001,3032.036957
-1246.792237,2001,3066.298613
-725.054308,2001,3100.598891
-1409.103652,2001,3135.035387
-1367.033385,2001,3169.112715
-519.267675,2001,3203.344902
-1237.597308,2001,3237.432912
-409.040137,2001,3271.702909
-1579.460194,2001,3305.932549
-1701.288427,2001,3340.392237
-1384.766025,2001,3374.590856
-445.608772,2001,3408.783245
-451.167365,2001,3442.840497
-1799.918529,2001,3476.345667
-1271.704813,2001,3510.199572
-1130.911945,2001,3543.899316
-1595.786927,2001,3577.909287
-1246.301222,2001,3611.897893
-586.307039,2001,3645.562364
-586.925059,2001,3679.369658
-1796.515519,2001,3713.173854
-556.279533,2001,3747.300423
-1872.88947,2001,3781.339626
-1879.021995,2001,3815.492704
-929.594479,2001,3849.531585
-1888.747611,2001,3883.736719
-496.963854,2001,3917.434384
-409.608718,2001,3951.164174
-435.357042,2001,3985.085824
-494.952746,2001,4018.958981
-232.146562,2001,4053.676667
-366.18871,2001,4088.039505
-2045.571872,2001,4122.00447
-1858.77919,2001,4155.826569
-442.230224,2001,4189.61693
-551.974029,2001,4223.855285
-920.026089,2001,4257.83331
-1735.90868,2001,4292.511365
-2603.985113,2001,4327.08289
-2478.225102,2001,4361.703372
-1415.414322,2001,4396.322381
-1431.765997,2001,4430.774383
-1868.182953,2001,4464.843846
-1350.996864,2001,4499.285304
-1852.824293,2001,4533.415117
-1860.564718,2001,4567.141153
-1769.311439,2001,4600.719128
-1272.935581,2001,4634.407162
-880.032072,2001,4668.50357
-904.25754,2001,4702.798617
-880.441901,2001,4736.698631
-896.964301,2001,4770.524402
-1027.701498,2001,4804.404692
-926.776085,2001,4838.460069
-990.262427,2001,4872.105753
-1406.391902,2001,4906.309633
-647.13498,2001,4940.604558
-692.842299,2001,4974.500945
-1110.020654,2001,5009.053662
-1058.585857,2001,5043.143963
-251.477834,2001,5077.345374
-316.579447,2001,5111.262028
-406.617673,2001,5145.856217
-411.480858,2001,5179.905134
-493.440686,2001,5213.837776
-434.65816,2001,5248.083484
-370.1242,2001,5282.084137
-419.471938,2001,5316.05126
-310.653569,2001,5350.147699
-366.066919,2001,5384.140229
-410.950386,2001,5418.226494
-380.745483,2001,5452.564816
-262.522704,2001,5486.966517
-453.010997,2001,5521.242423
-396.194843,2001,5555.433117
-474.877428,2001,5589.606406
-410.262718,2001,5623.586087
-255.242855,2001,5657.767477
-404.049856,2001,5691.656343
-402.597021,2001,5725.867677
-744.048144,2001,5759.979438
-429.872439,2001,5794.39187
-345.894335,2001,5828.388836
-292.677426,2001,5862.381917
-299.392327,2001,5896.310991
-406.116043,2001,5930.58179
-370.632638,2001,5964.702996
-324.626322,2001,5998.654533
-349.849184,2001,6032.554085
-432.563708,2001,6066.532788
-393.504111,2001,6100.435498
-362.81561,2001,6134.382716
-215.499679,2001,6168.554706
-916.740885,2001,6202.735586
-271.98125,2001,6236.804511
-756.836455,2001,6270.82992
-236.048926,2001,6304.896033
-660.268905,2001,6338.922812
-465.618711,2001,6372.917789
-369.216847,2001,6406.959771
-457.492637,2001,6441.272706
-309.050785,2001,6475.547534
-342.980882,2001,6509.526471
-314.142258,2001,6543.769046
-327.02393,2001,6578.215218
-309.431043,2001,6612.489124
-254.413365,2001,6646.648466
-362.04894,2001,6680.778372
-349.97776,2001,6714.69316
-348.263944,2001,6748.932305
-240.587805,2001,6782.900931
-306.461858,2001,6816.814705
-219.056556,2001,6850.905677
-304.475959,2001,6884.717276
-365.197442,2001,6918.623845
-464.384386,2001,6952.657999
-315.515173,2001,6986.518246
-444.227208,2001,7020.53297
-351.57466,2001,7054.630903
-565.484261,2001,7088.515915
-353.068876,2001,7122.523669
-569.335454,2001,7156.634711
-299.321204,2001,7190.867272
-374.474286,2001,7224.833231
-227.597386,2001,7258.868221
-427.994587,2001,7292.710953
-150.749307,2001,7326.728776
-345.268645,2001,7360.773715
-518.555343,2001,7394.858076
-294.836722,2001,7429.073675
-360.020753,2001,7463.212764
