#{"t_start": 1651746971.8892162, "env_id": "PointToPoint-v0"}
r,l,t
-4659.158319,5001,4.503296
-4659.172649,5001,8.910516
-4659.662155,5001,14.105625
-4660.954769,5001,18.416097
-4660.402741,5001,23.532417
-4661.203123,5001,27.839931
-4660.530947,5001,32.93328
-4661.510777,5001,37.255723
-4662.208121,5001,41.538272
-4661.740516,5001,46.642625
-4661.739991,5001,50.957087
-4662.32186,5001,56.058449
-4662.235687,5001,60.345017
-4662.935189,5001,65.458339
-4662.652483,5001,69.758848
-4662.391961,5001,75.089561
-4661.526688,5001,79.597508
-4660.655237,5001,83.935907
-4661.057311,5001,89.061202
-4660.717419,5001,93.358711
-4660.872954,5001,98.484009
-4660.519622,5001,102.77254
-4660.153173,5001,108.494242
-4659.512651,5001,112.902454
-4659.760667,5001,118.033734
-4660.938596,5001,122.432008
-4661.829604,5001,126.704549
-4660.994519,5001,131.806932
-4661.193366,5001,136.126358
-4661.062792,5001,141.253647
-4661.067038,5001,145.547166
-4660.16165,5001,150.677449
-4660.673989,5001,155.037825
-4661.153157,5001,160.133165
-4660.834248,5001,164.458634
-4661.397384,5001,168.773065
-4661.072826,5001,173.869438
-4660.157185,5001,178.164951
-4660.58372,5001,183.251382
-4660.172664,5001,187.585763
-4661.308428,5001,192.693105
-4661.701045,5001,197.015549
-4661.492277,5001,202.117904
-4661.185868,5001,206.497195
-4660.200857,5001,210.945332
-4660.722782,5001,216.053643
-4660.917268,5001,220.41897
-4660.873831,5001,225.508362
-4660.514359,5001,229.826814
-4659.665264,5001,234.932163
-4660.149241,5001,239.242664
-4659.976724,5001,243.556106
-4659.877398,5001,248.696361
-4658.737239,5001,253.11556
-4658.288043,5001,258.462247
-4658.027448,5001,262.736852
-4658.966344,5001,267.888044
-4657.849117,5001,272.197553
-4656.66448,5001,277.331792
-4655.645021,5001,281.628304
-4655.991678,5001,286.037516
-4656.460484,5001,291.136882
-4657.484108,5001,295.442367
-4658.468357,5001,300.566666
-4659.335405,5001,304.843231
-4658.902428,5001,309.951598
-4658.692452,5001,314.273018
-4658.718548,5001,319.362408
-4657.859821,5001,323.654931
-4658.305105,5001,327.963412
-4658.620986,5001,333.036845
-4659.252508,5001,337.314408
-4657.996486,5001,342.484609
-4658.182103,5001,346.736215
-4658.219904,5001,351.85054
-4657.928537,5001,356.142066
-4658.139734,5001,361.221483
-4657.69106,5001,365.502037
-4657.533243,5001,369.754667
-4658.27416,5001,374.866
-4658.212901,5001,379.143594
-4657.595046,5001,384.257888
-4657.785123,5001,388.50257
-4658.311508,5001,394.02876
-4658.077076,5001,398.472879
-4659.359233,5001,403.600168
-4659.45162,5001,407.889733
-4660.212441,5001,412.177269
-4660.169823,5001,417.309511
-4659.022321,5001,421.59605
-4659.792243,5001,426.700402
-4659.338508,5001,430.952035
-4658.721977,5001,436.036438
-4657.514928,5001,440.521446
-4658.246557,5001,444.840896
-4658.35845,5001,449.963228
-4659.349071,5001,454.253728
-4659.887932,5001,459.409974
-4660.354611,5001,463.676533
-4660.310734,5001,468.848703
