#{"t_start": 1651766473.1769228, "env_id": "PointToPoint-v0"}
r,l,t
-4644.655078,5001,6.654749
-4644.29191,5001,13.226989
-4644.268545,5001,21.582558
-4644.165905,5001,28.2753
-4644.013863,5001,36.081197
-4643.578116,5001,42.773587
-4644.059347,5001,52.068304
-4643.569344,5001,60.293764
-4643.577904,5001,67.087006
-4643.636857,5001,75.107739
-4643.239837,5001,81.690812
-4642.958563,5001,89.473455
-4642.859228,5001,95.915612
-4643.294346,5001,104.229593
-4643.313464,5001,110.692203
-4643.609101,5001,118.447109
-4643.713794,5001,124.97272
-4643.775654,5001,131.50619
-4643.855119,5001,139.382327
-4643.472255,5001,145.918298
-4643.594805,5001,153.717757
-4643.276925,5001,160.253419
-4643.668839,5001,168.082522
-4643.228514,5001,174.609297
-4642.75536,5001,182.480117
-4642.414395,5001,189.084587
-4641.97962,5001,195.733818
-4642.336987,5001,203.541383
-4641.921952,5001,210.101117
-4641.976865,5001,217.991712
-4641.846283,5001,224.446357
-4642.442437,5001,232.21147
-4642.493445,5001,238.874079
-4642.760002,5001,246.656687
-4643.057029,5001,253.286552
-4643.226538,5001,259.747378
-4643.327276,5001,267.5833
-4643.635105,5001,274.07613
-4644.065117,5001,281.877216
-4644.357206,5001,288.400783
-4645.243152,5001,296.390663
-4644.886934,5001,302.942111
-4643.339828,5001,310.837076
-4643.127827,5001,317.469599
-4643.498742,5001,324.100983
-4643.234161,5001,332.136168
-4643.653322,5001,338.778691
-4643.747391,5001,346.901769
-4644.046424,5001,353.53261
-4644.140406,5001,361.29709
-4644.287866,5001,370.191282
-4645.03791,5001,377.908473
-4644.397212,5001,386.591929
-4644.033235,5001,394.250543
-4644.410656,5001,404.712365
-4644.353721,5001,411.760582
-4643.706409,5001,419.556903
-4643.459447,5001,426.313874
-4642.907333,5001,434.22739
-4643.826929,5001,440.822085
-4643.455377,5001,447.333489
-4643.33692,5001,455.060139
-4643.750892,5001,461.604398
-4643.477118,5001,469.58329
-4642.596616,5001,476.129994
-4642.137058,5001,483.945564
-4642.723562,5001,490.434685
-4642.827517,5001,498.289284
-4642.853724,5001,505.083272
-4641.60346,5001,511.718999
-4642.323553,5001,519.623941
-4642.988765,5001,526.361344
-4642.694043,5001,534.398453
-4641.34546,5001,540.986649
-4641.059358,5001,548.766091
-4641.306535,5001,555.376798
-4640.275349,5001,563.267336
-4639.868395,5001,569.876837
-4638.834588,5001,576.470703
-4639.065378,5001,584.196403
-4638.796294,5001,590.652693
-4638.774235,5001,598.617343
-4639.701441,5001,605.495182
-4639.263835,5001,613.182177
-4638.694504,5001,619.945312
-4640.026424,5001,628.1469
-4640.447319,5001,635.052771
-4641.135773,5001,641.723592
-4641.254632,5001,649.469292
-4642.263511,5001,657.498081
-4641.743243,5001,667.937327
-4641.768572,5001,675.582612
-4642.100532,5001,684.63003
-4642.219847,5001,691.337109
-4640.931199,5001,698.114508
-4641.732889,5001,705.996544
-4642.6062,5001,712.54459
-4641.63039,5001,720.399135
-4642.180933,5001,726.999156
-4643.908856,5001,734.756916
